ticker,market_date,price,open,high,low,volume,change
ETH,2021-08-29,3177.84,3243.96,3282.21,3162.79,582.04K,-2.04%
ETH,2021-08-28,3243.90,3273.78,3284.58,3212.24,466.21K,-0.91%
ETH,2021-08-27,3273.58,3093.78,3279.93,3063.37,839.54K,5.82%
ETH,2021-08-26,3093.54,3228.03,3249.62,3057.48,118.44K,-4.17%
ETH,2021-08-25,3228.15,3172.12,3247.43,3080.70,923.13K,1.73%
ETH,2021-08-24,3173.26,3322.60,3357.99,3150.75,988.82K,-4.41%
ETH,2021-08-23,3319.49,3238.41,3375.42,3231.96,1.09M,2.49%
ETH,2021-08-22,3238.70,3224.17,3271.94,3128.98,747.65K,0.46%
ETH,2021-08-21,3223.96,3285.12,3307.33,3200.19,768.74K,-1.83%
ETH,2021-08-20,3284.21,3184.83,3300.36,3179.18,739.32K,3.12%
ETH,2021-08-19,3184.82,3016.92,3185.51,2962.04,844.13K,5.57%
ETH,2021-08-18,3016.91,3012.62,3124.51,2951.04,750.74K,0.08%
ETH,2021-08-17,3014.58,3147.67,3290.03,2993.63,1.06M,-4.23%
ETH,2021-08-16,3147.65,3307.96,3334.22,3138.37,859.09K,-4.87%
ETH,2021-08-15,3308.87,3264.56,3318.61,3115.34,782.81K,1.35%
ETH,2021-08-14,3264.69,3322.25,3328.38,3209.45,658.60K,-1.74%
ETH,2021-08-13,3322.43,3043.20,3324.53,3035.52,795.54K,9.16%
ETH,2021-08-12,3043.61,3160.17,3236.28,2981.35,965.63K,-3.79%
ETH,2021-08-11,3163.66,3140.86,3269.70,3122.67,950.12K,0.73%
ETH,2021-08-10,3140.71,3162.81,3232.02,3057.84,1.12M,-0.70%
ETH,2021-08-09,3162.93,3011.88,3184.84,2899.24,1.44M,5.01%
ETH,2021-08-08,3012.07,3158.30,3188.49,2949.66,1.25M,-4.62%
ETH,2021-08-07,3158.00,2889.58,3169.74,2867.58,64.84K,9.29%
ETH,2021-08-06,2889.43,2827.23,2946.62,2726.04,1.06M,2.20%
ETH,2021-08-05,2827.21,2725.28,2842.95,2533.51,1.65M,3.74%
ETH,2021-08-04,2725.29,2506.50,2766.46,2462.32,1.23M,8.72%
ETH,2021-08-03,2506.65,2608.01,2631.43,2445.49,158.45K,-3.89%
ETH,2021-08-02,2608.04,2556.07,2664.73,2513.51,970.67K,2.03%
ETH,2021-08-01,2556.23,2530.94,2696.38,2515.26,1.20M,0.95%
ETH,2021-07-31,2532.19,2461.08,2551.68,2421.70,507.08K,2.89%
ETH,2021-07-30,2460.95,2380.59,2467.40,2320.80,1.03M,3.36%
ETH,2021-07-29,2380.93,2299.46,2397.71,2269.15,642.75K,3.56%
ETH,2021-07-28,2299.11,2300.21,2343.49,2246.23,968.94K,-0.05%
ETH,2021-07-27,2300.22,2230.24,2318.68,2152.92,1.25M,3.17%
ETH,2021-07-26,2229.53,2189.74,2430.01,2174.44,1.89M,1.81%
ETH,2021-07-25,2189.79,2166.98,2195.03,2108.74,786.94K,1.76%
ETH,2021-07-24,2151.85,2124.00,2162.29,2106.71,907.11K,1.33%
ETH,2021-07-23,2123.61,2024.51,2129.66,2000.27,961.67K,4.89%
ETH,2021-07-22,2024.58,1994.61,2043.26,1952.31,1.02M,1.51%
ETH,2021-07-21,1994.49,1786.18,2029.51,1758.64,1.51M,11.67%
ETH,2021-07-20,1786.07,1818.07,1840.36,1720.70,1.20M,-1.76%
ETH,2021-07-19,1818.07,1891.43,1915.15,1807.19,802.78K,-3.93%
ETH,2021-07-18,1892.42,1898.01,1988.24,1881.60,829.77K,-0.29%
ETH,2021-07-17,1897.98,1877.00,1917.80,1851.97,623.52K,1.05%
ETH,2021-07-16,1878.20,1917.21,1960.21,1852.42,619.62K,-2.03%
ETH,2021-07-15,1917.21,1994.73,2038.91,1884.81,645.06K,-3.88%
ETH,2021-07-14,1994.64,1940.48,2017.99,1868.45,1.05M,2.78%
ETH,2021-07-13,1940.72,2035.09,2042.61,1920.62,717.85K,-4.64%
ETH,2021-07-12,2035.09,2139.44,2167.60,2008.66,540.10K,-4.87%
ETH,2021-07-11,2139.35,2110.90,2173.34,2081.62,724.84K,1.34%
ETH,2021-07-10,2111.12,2146.15,2191.30,2078.43,929.32K,-1.62%
ETH,2021-07-09,2145.89,2120.05,2185.62,2066.09,1.42M,1.21%
ETH,2021-07-08,2120.22,2316.21,2322.47,2095.92,1.82M,-8.48%
ETH,2021-07-07,2316.57,2322.74,2402.68,2296.43,1.32M,-0.26%
ETH,2021-07-06,2322.72,2196.25,2347.47,2194.20,1.78M,5.76%
ETH,2021-07-05,2196.16,2322.60,2322.60,2163.09,822.95K,-5.47%
ETH,2021-07-04,2323.22,2224.70,2386.20,2222.95,1.39M,4.43%
ETH,2021-07-03,2224.70,2154.53,2236.97,2115.80,1.28M,3.25%
ETH,2021-07-02,2154.78,2108.58,2158.70,2019.75,1.39M,2.17%
ETH,2021-07-01,2109.11,2274.50,2274.63,2077.56,1.71M,-7.24%
ETH,2021-06-30,2273.84,2158.32,2281.55,2090.61,1.90M,5.33%
ETH,2021-06-29,2158.71,2083.48,2241.86,2076.17,898.06K,3.63%
ETH,2021-06-28,2083.09,1981.24,2142.84,1962.89,2.19M,5.21%
ETH,2021-06-27,1979.88,1830.42,1980.70,1808.59,1.87M,8.15%
ETH,2021-06-26,1830.62,1810.53,1850.40,1719.32,1.99M,1.11%
ETH,2021-06-25,1810.57,1989.77,2017.47,1793.47,1.65M,-8.98%
ETH,2021-06-24,1989.14,1968.76,2033.96,1886.74,1.64M,1.05%
ETH,2021-06-23,1968.39,1877.28,2043.10,1823.57,1.77M,4.89%
ETH,2021-06-22,1876.66,1890.95,1994.32,1707.24,2.84M,-0.77%
ETH,2021-06-21,1891.18,2244.25,2257.86,1868.32,2.69M,-15.72%
ETH,2021-06-20,2243.86,2166.30,2276.83,2045.03,1.42M,3.55%
ETH,2021-06-19,2166.91,2229.53,2276.70,2164.14,1.08M,-2.81%
