txn_id,member_id,ticker,txn_date,txn_type,quantity,percentage_fee,txn_time
1,c81e72,BTC,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
2,eccbc8,BTC,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
3,a87ff6,BTC,2017-01-01,BUY,50,0.00,2017-01-01 00:00:00
4,e4da3b,BTC,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
5,167909,BTC,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
6,c4ca42,BTC,2017-01-01,BUY,50,0.02,2017-01-01 00:00:00
7,8f14e4,BTC,2017-01-01,BUY,50,0.21,2017-01-01 00:00:00
8,c9f0f8,BTC,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
9,45c48c,BTC,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
10,d3d944,BTC,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
11,6512bd,BTC,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
12,c20ad4,BTC,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
13,c51ce4,BTC,2017-01-01,BUY,50,0.26,2017-01-01 00:00:00
14,aab323,BTC,2017-01-01,BUY,50,0.22,2017-01-01 00:00:00
15,167909,ETH,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
16,c4ca42,ETH,2017-01-01,BUY,50,0.10,2017-01-01 00:00:00
17,c81e72,ETH,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
18,eccbc8,ETH,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
19,a87ff6,ETH,2017-01-01,BUY,50,0.20,2017-01-01 00:00:00
20,e4da3b,ETH,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
21,8f14e4,ETH,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
22,c9f0f8,ETH,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
23,45c48c,ETH,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
24,d3d944,ETH,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
25,6512bd,ETH,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
26,c20ad4,ETH,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
27,c51ce4,ETH,2017-01-01,BUY,50,0.30,2017-01-01 00:00:00
28,aab323,ETH,2017-01-01,BUY,50,0.01,2017-01-01 00:00:00
29,aab323,ETH,2017-01-01,SELL,9.56218513637378,0.30,2017-01-01 01:22:32.096892
